no,query,qemb,sql,action,action_input,category,updated_date,next_msg,topic,comment
,给我商品ID为“B0789LZTCJ”的产品的图片链接,,SELECT img_link FROM product WHERE product_id = 'B0789LZTCJ' ;,,,sql,,列出相同类别的其它产品,搜索,
,有多少种不同的产品类别？,,SELECT COUNT(DISTINCT category) AS category_count FROM product;,,,sql,,电子产品的平均价格是多少,统计分析,
,每种类别有多少个产品？,,"SELECT COUNT(product_id) AS product_count, category FROM product GROUP BY category;",,,sql,,哪种类别的折扣率最高,统计分析,
,平均折扣率是多少？,,SELECT AVG(discount_percentage) AS average_discount_rate FROM product;,,,sql,,,统计分析,
,总共有多少条用户评价？,,SELECT COUNT(review_id) AS total_review_count FROM product;,,,sql,,,统计分析,
,哪些用户撰写了最多的评价？,,"SELECT COUNT(review_id) AS review_count, user_name, user_id FROM product GROUP BY user_id, user_name ORDER BY review_count DESC LIMIT 1;",,,sql,,,统计分析,
,哪些产品没有收到任何评价？,,SELECT product_name FROM product WHERE rating_count = 0;,,,sql,,,特例,
,目前有哪些电子产品的折扣价格低于500元？,,"SELECT discounted_price, product_name FROM product WHERE discounted_price < 500 AND category LIKE '%electronic%';",,,sql,,,推荐,
,评分在4.5以上的产品有哪些？找出其中最高的不超过5个,,SELECT * FROM product WHERE rating >= 4.5 ORDER BY rating DESC LIMIT 5;,,,sql,,,推荐,
,哪些产品的折扣最大？能推荐几款吗？,,"SELECT MAX(discount_percentage) AS max_discount, product_name FROM product GROUP BY product_name, product_name ORDER BY max_discount DESC LIMIT 3;",,,sql,,,了解详情,
,我想知道这款产品（ID为B09RFB2SJQ）的详细信息，包括名称、价格、折扣和评分。,,"SELECT rating, actual_price, discounted_price, product_name FROM product WHERE product_id = 'B09RFB2SJQ';",,,sql,,,了解详情,
,我想看看这款产品（ID为B09RFB2SJQ）的用户评论。,,"SELECT review_title, review_content FROM product WHERE product_id = 'B09RFB2SJQ';",,,sql,,,了解详情,
,用户RAMKISAN之前写的评论都在哪儿可以找到？,,SELECT * FROM product WHERE user_name LIKE '%RAMKISAN%' AND review_content IS NOT NULL;,,,sql,,,搜索,
,风扇产品的评分有多少个？平均评分是多少？,,"SELECT COUNT(rating) AS rating_count, AVG(rating) AS average_rating FROM product WHERE category LIKE '%fan%';",,,sql,,,统计分析,
,电子产品分类下，评分最高的几款产品有哪些？,,"SELECT rating, product_name FROM product WHERE category LIKE '%electronics%' ORDER BY rating DESC LIMIT 5;",,,sql,,,推荐,
,有哪些产品介绍或评论中有提到“Compact”的？,,"SELECT about_product, review_content, product_name FROM product WHERE about_product LIKE '%Compact%' OR review_content LIKE '%Compact%' LIMIT 10;",,,sql,,,搜索,
,能推荐几款有图片展示的热门产品吗？,,"SELECT img_link, product_name FROM product WHERE img_link IS NOT NULL ORDER BY rating DESC LIMIT 5;",,,sql,,,推荐,
,哪种类别的平均折扣率最高,,"SELECT category, AVG(discount_percentage) AS avg_discount_rate FROM product GROUP BY category ORDER BY avg_discount_rate DESC LIMIT 1;",,,,,,统计分析,
